Brand,Model,Link,Price,Price Retail,Discount,Saved Amount,CPU,GPU,RAM,Storage,Screen,detail,
LENOVO,Laptop Lenovo ThinkPad E14 Gen 7 - 21SX0031VN (Ultra 7-255H/ 32GB/ 512GB/ Windows 11 Home),https://phongvu.vn/laptop-lenovo-thinkpad-e14-gen-7-21sx0031vn--s251107251,30.990.000 ₫,31.500.000 ₫,-2%,510.000 ₫,U7-255H,Intel Graphics,32GB,512GB,"14"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ Ultra 7-255H (2.0 GHz - 5.1 GHz/ 24MB/ 16 nhân, 16 luồng)
RAM: 2 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 300 nits, 45% NTSC
Khác: Bàn phím thường, FHD webcam, Dolby Atmos, Non-EVO
OS: Windows 11 Home",
LENOVO,Laptop Lenovo LOQ Essential 15IRX11 - 83SC003RVN (i5-13450HX/ GeForce RTX™ 5050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-lenovo-loq-essential-15irx11-83sc003rvn--s251107244?selectPromotionId=1506257,26.990.000 ₫,28.490.000 ₫,-5%,1.500.000 ₫,i5-13450HX,RTX 5050,16GB,512GB,"15.6"" Full HD/ IPS/ 144Hz","CPU: Intel® Core™ i5-13450HX (2.4 GHz - 4.6 GHz/ 20MB/ 10 nhân, 16 luồng)
VGA: GeForce RTX™ 5050 8GB GDDR7, 440 AI TOPs
RAM: 1 x 16GB 4800MHz DDR5
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 144Hz, Màn hình chống lóa, 300 nits, 100% sRGB
Khác: Bàn phím thường, HD webcam, Nahimic Audio, Non-EVO
OS: Windows 11 Home SL",
LENOVO,Laptop Lenovo Yoga 7 2-in-1 14ILL10 - 83JQ0094VN (Ultra 7-258V/ 32GB/ 1TB/ Windows 11 + Office + Microsoft),https://phongvu.vn/laptop-lenovo-yoga-7-2-in-1-14ill10-83jq0094vn--s251107232?selectPromotionId=1506258,37.990.000 ₫,39.990.000 ₫,-5%,2.000.000 ₫,U7-258V,Intel Graphics,32GB,1TB,"14"" 2.8K/ OLED","CPU: Intel® Core™ Ultra 7-258V (2.2 GHz - 4.8 GHz/ 12MB/ 8 nhân, 8 luồng)
NPU: Intel® AI Boost 47 TOPS
RAM: 32GB Onboard 8533MHz LPDDR5x (Hỗ trợ tối đa 32GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14"" 2.8K (2880 x 1800) OLED, Màn hình gương, 1100 nits, 100% DCI-P3
Khác: Bàn phím thường, HD webcam, Dolby Atmos, Intel AI
OS: Windows 11 Home + Office Home & Student 2024 + Microsoft 365 Basic 1 year Free Onedrive",
GIGABYTE,Laptop Gigabyte Gaming A16 CTHH3VN893SH (i5-13420H/ GeForce RTX™ 5050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-gigabyte-gaming-a16-cthh3vn893sh--s251106306?selectPromotionId=1456564,25.490.000 ₫,28.990.000 ₫,-12%,3.500.000 ₫,i5-13420H,RTX 5050,16GB,512GB,"16"" WUXGA/ IPS/ 165Hz","CPU: Intel® Core™ i5-13420H (2.1 GHz - 4.6 GHz/ 12MB/ 8 nhân, 12 luồng)
VGA: GeForce RTX™ 5050 8GB GDDR7
RAM: 1 x 16GB 5200MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 16"" WUXGA (1920 x 1200) IPS, 165Hz,
Khác: Bàn phím thường, FHD webcam, Dolby Atmos, Non-EVO
OS: Windows 11 Home SL",
GIGABYTE,Laptop Gigabyte AERO-X16 X161VH93VNC64AH (Ryzen AI 7 350/ GeForce RTX™ 5060/ 32GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-gigabyte-aero-x16-x161vh93vnc64ah--s251106307,39.690.000 ₫,,,,R7 350,RTX 5060,32GB,1TB,"16"" WQXGA/ IPS/ 165Hz","CPU: AMD Ryzen™ AI 7 350 (2.0 GHz - 5.0 GHz/ 16MB/ 8 nhân, 16 luồng)
NPU: AMD XDNA™ lên đến 50TOPs
VGA: GeForce RTX™ 5060
RAM: 2 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 16"" WQXGA (2560 x 1600) IPS, 165Hz, 400 nits, 100% sRGB
Khác: Bàn phím thường, FHD webcam, Dolby Atmos, AMD AI
OS: Windows 11 Home SL",
GIGABYTE,Laptop Gigabyte Gaming A16 CTHI3VN893SH (i7-13620H/ GeForce RTX™ 5050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-gigabyte-gaming-a16-cthi3vn893sh--s251106308?selectPromotionId=1456565,27.590.000 ₫,30.990.000 ₫,-11%,3.400.000 ₫,i7-13620H,RTX 5050,16GB,512GB,"16"" WUXGA/ IPS/ 165Hz","CPU: Intel® Core™ i7-13620H (2.4 GHz - 4.9GHz/ 24MB/ 10 nhân, 16 luồng)
VGA: GeForce RTX™ 5050 8GB GDDR7
RAM: 1 x 16GB 5200MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 16"" WUXGA (1920 x 1200) IPS, 165Hz,
Khác: Bàn phím thường, FHD webcam, Dolby Atmos, Non-EVO
OS: Windows 11 Home SL",
GIGABYTE,Laptop Gigabyte Gaming A16 CWHI3VNC94SH (i7-13620H/ GeForce RTX™ 5070/ 16GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-gigabyte-gaming-a16-cwhi3vnc94sh--s251106309?selectPromotionId=1456566,38.990.000 ₫,42.590.000 ₫,-8%,3.600.000 ₫,i7-13620H,RTX 5070,16GB,1TB,"16"" WQXGA/ IPS/ 165Hz","CPU: Intel® Core™ i7-13620H (2.4 GHz - 4.9GHz/ 24MB/ 10 nhân, 16 luồng)
VGA: GeForce RTX™ 5070 8GB GDDR7
RAM: 1 x 16GB 5200MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 16"" WQXGA (2560 x 1600) IPS, 165Hz,
Khác: Bàn phím thường, FHD webcam, Dolby Atmos, Non-EVO
OS: Windows 11 Home SL",
GIGABYTE,Laptop Gigabyte Gaming A16 CVHI3VNC94SH (i7-13620H/ GeForce RTX™ 5060/ 16GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-gigabyte-gaming-a16-cvhi3vnc94sh--s251106310,36.590.000 ₫,,,,i7-13620H,RTX 5060,16GB,1TB,"16"" WQXGA/ IPS/ 165Hz","CPU: Intel® Core™ i7-13620H (2.4 GHz - 4.9GHz/ 24MB/ 10 nhân, 16 luồng)
VGA: GeForce RTX™ 5060 8GB GDDR7
RAM: 1 x 16GB 5200MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 16"" WQXGA (2560 x 1600) IPS, 165Hz,
Khác: Bàn phím thường, FHD webcam, Dolby Atmos, Non-EVO
OS: Windows 11 Home SL",
MSI,Laptop Msi Prestige 13 AI+ Ukiyoe Edition A2VMG-075VN (Ultra 9-288V/ 32GB/ 2TB/ Windows 11 Home),https://phongvu.vn/laptop-msi-prestige-13-ai-ukiyoe-edition-a2vmg-075vn--s251103298,48.990.000 ₫,,,,U9-288V,Intel Arc,32GB,2TB,"13.3"" 2.8K/ OLED","CPU: Intel® Core™ Ultra 9-288V (3.3 GHz - 5.1 GHz/ 12MB/ 8 nhân, 8 luồng)
NPU: Intel® AI Boost 48 TOPS (Total up to 120 TOPs)
RAM: 32GB Onboard 8533MHz LPDDR5x (Không nâng cấp được)
Ổ cứng: 2TB SSD M.2 NVMe
Màn hình: 13.3"" 2.8K (2880 x 1800) OLED, 100% DCI-P3
Khác: Bàn phím thường, HD webcam, Intel AI",
MSI,Laptop Msi Cyborg 15 A13UC-2088VN (i5-13420H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11 Home),https://phongvu.vn/laptop-msi-cyborg-15-a13uc-2088vn--s251100923?selectPromotionId=1524477,19.490.000 ₫,19.990.000 ₫,-3%,500.000 ₫,i5-13420H,RTX 3050,16GB,512GB,"15.6"" Full HD/ IPS/ 144Hz","CPU: Intel® Core™ i5-13420H (2.1 GHz - 4.6GHz/ 12MB/ 8 nhân, 12 luồng)
VGA: GeForce RTX™ 3050 4GB GDDR6
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 144Hz,
Khác: Bàn phím thường, HD webcam, Non-EVO
OS: Windows 11 Home",
MSI,Laptop Msi Cyborg 15 B13WFKG-658VN (Core i7-13620H/ GeForce RTX™ 5060/ 16GB/ 1TB/ Windows 11),https://phongvu.vn/laptop-msi-cyborg-15-b13wfkg-658vn--s251100924?selectPromotionId=1524443,31.990.000 ₫,33.990.000 ₫,-6%,2.000.000 ₫,i7-13620H,RTX 5060,16GB,1TB,"15.6"" Full HD/ IPS/ 144Hz","CPU: Intel® Core™ i7-13620H (2.4 GHz - 4.9GHz/ 24MB/ 10 nhân, 16 luồng)
VGA: GeForce RTX™ 5060 8GB GDDR7, 572 AI TOPs
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 96GB)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 144Hz,
Khác: Có phím Copilot, HD webcam, Non-EVO
OS: Windows 11 Home",
MSI,Laptop Msi Cyborg 15 A13VEK-2089VN (Core i7-13620H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Windows 11 Home),https://phongvu.vn/laptop-msi-cyborg-15-a13vek-2089vn--s251100925?selectPromotionId=1519570,24.490.000 ₫,26.390.000 ₫,-7%,1.900.000 ₫,i7-13620H,RTX 4050,16GB,512GB,"15.6"" Full HD/ IPS/ 144Hz","CPU: Intel® Core™ i7-13620H (2.4 GHz - 4.9GHz/ 24MB/ 10 nhân, 16 luồng)
VGA: GeForce RTX™ 4050 6GB GDDR6
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 144Hz,
Khác: Bàn phím thường, HD webcam, Non-EVO
OS: Windows 11 Home",
MSI,Laptop Msi Cyborg 15 B13WEKG-676VN (i5-13420H/ GeForce RTX™ 5050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-msi-cyborg-15-b13wekg-676vn--s251100926?selectPromotionId=1524442,25.990.000 ₫,27.690.000 ₫,-6%,1.700.000 ₫,i5-13420H,RTX 5050,16GB,512GB,"15.6"" Full HD/ IPS/ 144Hz","CPU: Intel® Core™ i5-13420H (2.1 GHz - 4.6 GHz/ 12MB/ 8 nhân, 12 luồng)
VGA: GeForce RTX™ 5050 8GB GDDR7, 440 AI TOPs
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 96GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 144Hz,
Khác: Có phím Copilot, HD webcam, Non-EVO
OS: Windows 11 Home",
DELL,Laptop Dell Pro 14 Plus PB14250-235U-16512W (Ultra 5-235U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-dell-pro-14-plus-pb14250-235u-16512w--s251019398,29.490.000 ₫,29.990.000 ₫,-2%,500.000 ₫,U5-235U,Intel Graphics,16GB,512GB,"14"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ Ultra 5 235U vPro® (4.9 GHz/ 12 nhân, 14 luồng)
NPU: Intel® AI Boost 12 TOPS
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 300 nits, 45% NTSC
Khác: Bàn phím thường, FHD webcam, Intel AI
OS: Windows 11 Home SL",
DELL,Laptop Dell Pro 14 PC14250-235U-16512W (Ultra 5-235U vPro/ 16GB/ 512GB/ Windows 11 Pro),https://phongvu.vn/laptop-dell-pro-14-pc14250-235u-16512w--s251019399,28.790.000 ₫,29.290.000 ₫,-2%,500.000 ₫,U5-235U,Intel Graphics,16GB,512GB,"14"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ Ultra 5 235U vPro® (4.9 GHz/ 12 nhân, 14 luồng)
NPU: Intel® AI Boost 12 TOPS
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 14"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 300 nits, 45% NTSC
Khác: Bàn phím thường, FHD webcam, Intel AI
OS: Windows 11 Pro",
DELL,Laptop Dell Pro 13 Plus PB13250-236V-16512W (Ultra 5-236V/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-dell-pro-13-plus-pb13250-236v-16512w--s251019400,33.790.000 ₫,34.290.000 ₫,-1%,500.000 ₫,U5-236V,Intel Graphics,16GB,512GB,"13.3"" WUXGA/ IPS/ 60Hz","CPU: Intel® Core™ Ultra 5 236V, vPro® (4.7 GHz/ 8MB/ 8 nhân, 8 luồng)
NPU: Intel® AI Boost 40 TOPS
RAM: 16GB Onboard 8533MHz LPDDR5x (Không nâng cấp được)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 13.3"" WUXGA (1920 x 1200) IPS, 60Hz, Màn hình chống lóa, 300 nits, 45% NTSC
Khác: Bàn phím thường, FHD webcam, Intel AI
OS: Windows 11 Home",
LENOVO,Laptop Lenovo Yoga Pro 7 OLED 14IAH10 - 83KF002BVN (Ultra 9-285H/ 32GB/ 1TB/ Windows 11 + Office + Microsoft),https://phongvu.vn/laptop-lenovo-yoga-pro-7-oled-14iah10-83kf002bvn--s251017453?selectPromotionId=1506014,37.990.000 ₫,39.990.000 ₫,-5%,2.000.000 ₫,U9-285H,Intel Graphics,32GB,1TB,"14.5"" 3K/ OLED/ 120Hz","CPU: Intel® Core™ Ultra 9-285H (2.5 GHz - 4.5 GHz/ 36MB/ 24 nhân, 24 luồng)
NPU: Intel® AI Boost 13 TOPS
RAM: 32GB Onboard 8533MHz LPDDR5x (Không nâng cấp được)
Ổ cứng: 1TB SSD M.2 NVMe
Màn hình: 14.5"" 3K (3000 x 1876) OLED, 120Hz, Màn hình chống lóa, 1000 nits, 100% DCI-P3
Khác: Bàn phím thường, HD webcam, High Definition Audio, Intel AI
OS: Windows 11 Home + Office Home & Student 2024 + Microsoft 365 Basic",
LENOVO,Laptop Lenovo Legion 5 15IRX10 - 83LY00HRVN (i7-13650HX/ GeForce RTX™ 5050/ 16GB/ 512GB/ Windows 11 + Office),https://phongvu.vn/laptop-lenovo-legion-5-15irx10-83ly00hrvn--s251017446?selectPromotionId=1505989,33.990.000 ₫,36.990.000 ₫,-8%,3.000.000 ₫,i7-13650HX,RTX 5050,16GB,512GB,"15.3"" WUXGA/ IPS/ 165Hz","CPU: Intel® Core™ i7-13650HX (2.6 GHz - 4.9GHz/ 24MB/ 14 nhân, 20 luồng)
VGA: GeForce RTX™ 5050 8GB GDDR7, 440 AI TOPs
RAM: 1 x 16GB 4800MHz DDR5 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.3"" WUXGA (1920 x 1200) IPS, 165Hz, Màn hình chống lóa, 300 nits, G-Sync, 100% sRGB
Khác: Bàn phím thường, HD webcam, Nahimic Audio, Intel AI
OS: Windows 11 Home SL + Office Home & Student 2024",
ACER,Laptop Acer Gaming Nitro V 15 - ANV15-41-R732 (Ryzen 5 6600H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-acer-gaming-nitro-v-15-anv15-41-r732--s251017439?selectPromotionId=1505958,22.290.000 ₫,24.490.000 ₫,-9%,2.200.000 ₫,R5 6600H,RTX 4050,16GB,512GB,"15.6"" Full HD/ IPS/ 165Hz","CPU: AMD Ryzen™ 5 6600H (3.3 GHz - 4.5 GHz/ 16MB/ 6 nhân, 12 luồng)
VGA: GeForce RTX™ 4050 6GB GDDR6, 194 AI TOPs
RAM: 1 x 16GB 4800MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) IPS, 165Hz, 300 nits, Acer ComfyView, 45% NTSC
Khác: Bàn phím Chiclet với phím Copilot, HD webcam, Acer Purified Voice, AMD
OS: Windows 11 Home SL",
ASUS,Laptop Asus TUF Gaming F16 FX607VJB-RL151W (Core 5 210H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-asus-tuf-gaming-f16-fx607vjb-rl151w--s251017432,24.490.000 ₫,24.990.000 ₫,-2%,500.000 ₫,Core 5 210H,RTX 3050,16GB,512GB,"16"" WUXGA/ IPS/ 144Hz","CPU: Intel® Core™ 5 210H (2.2 GHz - 4.8 GHz/ 12MB/ 8 nhân, 12 luồng)
VGA: GeForce RTX™ 3050 6GB GDDR6, 143 AI TOPs
RAM: 1 x 16GB 5600MHz DDR5 (Hỗ trợ tối đa 64GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 16"" WUXGA (1920 x 1200) IPS, 144Hz, Màn hình chống lóa, 300 nits, 45% NTSC
Khác: Bàn phím Chiclet, HD webcam, Dolby Atmos, Non-EVO
OS: Windows 11 Home",
HP,Laptop HP 15-fc0656AU - C81NHPA (Ryzen 5 7430U/ 16GB/ 512GB/ Windows 11),https://phongvu.vn/laptop-hp-15-fc0656au-c81nhpa--s251013014?selectPromotionId=1526354,13.490.000 ₫,15.790.000 ₫,-15%,2.300.000 ₫,R5 7430U,AMD Radeon,16GB,512GB,"15.6"" Full HD","CPU: AMD Ryzen™ 5 7430U (2.0 GHz - 4.5 GHz/ 16MB/ 6 nhân, 12 luồng)
RAM: 2 x 8GB 3200MHz DDR4 (Hỗ trợ tối đa 32GB)
Ổ cứng: 512GB SSD M.2 NVMe
Màn hình: 15.6"" Full HD (1920 x 1080) Màn hình chống lóa, 250 nits, 45% NTSC
Khác: Bàn phím thường, HD webcam, Non-EVO
OS: Windows 11 Home",
